Length,Average Number of Sentences,Complex Sentence
25,1.4,"According to the Georgian chronicles, he was a son of Rev, son of Mirian III, the first Christian king of Iberia."
10,1.1,"Brawl, as did Walker for the English version."
31,1.5,"Soy milk (also called soya milk, soybean milk, or soy juice) and sometimes referred to as soy drink / beverage is a beverage made from soybeans."
13,1.2,The film is mainly based on Robert Drewe's book Our Sunshine.
14,1.0,Hurricane Wilma was the most intense hurricane ever recorded in the Atlantic basin.
13,1.2,"During this period he married, and farmed in Lyndhurst, Hampshire."
26,1.4,"During his 22 - year career, Young established numerous professional pitching records in the majors, some of which have stood for a century."
37,1.6,"Music storage and marketing Digital audio files can be transported from one computer to another like any other file, and played on a compatible media player (with caveats for DRM-locked files)."
12,1.0,"Arunachal Pradesh (,) is the easternmost state of India."
36,1.7,"All the bats admire him, and he claims to have caught two tiger moths which are known by all the others in the colony to be an extraordinary achievement by such a young bat."
14,1.0,Bernard Haitink made his debut with the Concertgebouw Orchestra on 7 November 1956.
32,1.7,"Normally a pawn moves by advancing a single square, but the first time each pawn is moved from its initial position, it has the option to advance two squares."
11,1.2,He was buried at Westminster Abbey on 9 May 1509.
20,1.5,"It is a rather short book, in both Jewish and Christian scripture, consisting of only four chapters."
33,1.6,"He has also appeared in many highly-acclaimed television dramas such as The Lakes, State of Play and two BAFTA award-winning serials; Clocking Off and Sex Traffic."
28,1.2,"Under the ring name Test, Martin wrestled for World Wrestling Federation (later World Wrestling Entertainment) from 1998 – 2004, and 2006 – 2007."
26,1.3,"As recently as 1967, the World Health Organization estimated that 15 million people contracted the disease and that two million died in that year."
48,1.3,"Du Pré performed with the most prestigious orchestras and conductors, including the Berlin Philharmonic Orchestra, London Symphony, London Philharmonic, New Philharmonia Orchestra, BBC Symphony Orchestra, New York Philharmonic, Philadelphia Orchestra, Israel Philharmonic, and the Los Angeles Philharmonic Orchestra."
13,1.5,"Together they had 18 children, of whom 11 survived to adulthood."
28,1.3,"As of 2005, the Schools were: Cognitive Science (CS): includes linguistics, most psychology, some philosophy, neuroscience, and computer science."
18,1.4,"Simplification By far the most common form of language reform, simplification involves spelling simplification (cf."
33,1.5,"Early life Picasso was baptized Pablo Diego José Francisco de Paula Juan Nepomuceno María de los Remedios Crispiniano de la Santísima Trinidad, a series of names honouring various saints and relatives."
8,1.0,Another 11 performances were presented after that.
47,2.5,"Genista juncea), also known as Weaver's Broom, is a perennial, leguminous shrub native to the Mediterranean region in southern Europe, southwest Asia and northwest Africa, where it is found in sunny sites, usually on dry, sandy soils."
7,1.0,Chlamydia is easily treated with antibiotics.
15,1.0,Lyndon B. Johnson's speech outlining his Great Society program also occurred at UM.
33,1.8,"Design philosophies Two basic designs exist: Event-driven (priority scheduling) designs switch tasks only when an event of higher priority needs service, called pre-emptive priority."
13,1.3,"Almahala Tripoli is a Libyan football club based in Tripoli, Libya."
19,1.6,However the registration law changed in 2006 and since March 2007 official vehicles have got standard number plates.
21,1.4,"The lithosphere is underlain by the asthenosphere, the weaker, hotter, and deeper part of the upper mantle."
29,1.4,"Puerto Rico consists of the main island of Puerto Rico and various smaller islands, including Vieques, Culebra, Mona, Desecheo, and Caja de Muertos."
30,1.0,The contemporary status of the Mandaeans has prompted a number of American intellectuals and civil rights activists to call for their government to extend refugee status to the community.
35,1.5,"The Terms of ServicePicasa: Terms of Service permit Google to use the uploaded photos to display on the website or via RSS feeds, and also for promoting Google services royalty-free."
20,1.1,It was also during his tenure in Westminster that Pope John Paul II made a groundbreaking visit to England.
11,1.0,A word consists of a root and a grammatical ending.
28,1.6,"The ventricular muscle twitches randomly, rather than contracting in unison, and so the ventricles fail to pump blood into the arteries and into systemic circulation."
12,1.1,Palembang is the capital city of South Sumatra Province of Indonesia.
23,1.3,"Thus, the first such storage facility in the US was implemented at Zoar Field, about forty miles south of Buffalo."
29,1.4,"In modern days, joss sticks can be used for any purpose, such as to enhance the smell of a room, or to light fire crackers."
11,1.4,Vikidia is an online encyclopedia wiki designed with Mediawiki software.
28,1.4,"It takes place in an alternate history of the American frontier in the early 19th century, to some extent based on early American folklore and superstition."
22,1.9,"The methodological ethos is identical, but there is a slight difference in the vocabulary, and Specialized is more international."
35,1.7,"They can occur at any beach with breaking waves, including the world's oceans, seas, and large lakes such as the Great Lakes in the United States of America and Canada."
22,1.5,"All species have a distinctly bear-like gait, due to their front legs being longer than their back legs."
9,1.0,Some computers can boot up from flash drives.
28,1.4,Demographics The population of the city is now largely made up of the descendants of laborers who were hired for labor from India in the 19th century.
16,1.0,The first parallax measurement of the distance to Alpha Centauri is published by Thomas Henderson.
35,1.2,"Primeval redwood forests, coastal mangrove stands, sphagnum bogs, desert soil crusts, roadside weed patches, wheat fields, cultivated gardens and lawns; all are encompassed by the term vegetation."
14,1.0,Dar es Salaam was retained as the territory's administrative and commercial centre.
23,1.1,"From 1938, newer SS uniforms featured the shoulder boards of a German Oberst in addition to the oak leaf collar patches."
28,1.6,"References External links Official site Ibanez guitars and bass museum - Ibanez instruments database, resources, user reviews, pictures History of Hoshino Gakki Co., Ltd."
39,1.5,"In February 2007, Essjay was found to have made false claims about his academic qualifications and professional experiences on his Wikipedia user page and to journalist Stacy Schiff during an interview for The New YorkerSchiff, Stacey."
35,1.6,"Baduhennna is solely attested by Tacitus' Annals where Tacitus records that a grove in Frisia was dedicated to her, and that near this grove 900 Roman prisoners were killed in 28 CE."
12,1.2,The orchestra is associated with the triennial Gustav Mahler Conducting Prize.
20,1.3,"Also, it hybridizes with some other wattles, notably the rare and endangered Sydney Basin species Acacia pubescens."
17,1.1,They often simply groan in disapproval in situations where a human toddler would throw a tantrum.
28,1.0,"Because of the lack of physical characteristics supporting this group, it is very possible that the subfamily as it is currently recognized is subject to enlargement."
23,1.3,"Those who are born in the state are known as ""Capixabas"", although the precise word is ""espiritossantenses""."
28,1.9,"In 1934, Dupré succeeded Charles-Marie Widor as titular organist at St. Sulpice in Paris, a post he held until his death in 1971."
19,1.0,One candidate met with success: Alfred Waterson who became a Member of Parliament for the Kettering seat.
7,1.0,This victory brought him 2000 pesetas.
26,1.6,"His character and early life He was considered a modest, prayerful person, he was thought of as honest and pure by his classmates."
13,1.2,"Springville is a city in Linn County, Iowa, United States."
15,1.0,"The rotational period of the interior of Uranus is 17 hours, 14 minutes."
35,1.6,"The series attempted to create a setting of a gritty, realistic police station similar to that of NYPD Blue, but differed by focusing on the uniformed police officers rather than the detectives."
35,1.1,Meteorological history A cut-off extratropical cyclone over the central north Pacific moved over an area of ocean with sea surface temperatures as high as 2 ° C above normal for two days.
27,1.5,Victoria Island (or Kitlineq) is an island in the Canadian Arctic Archipelago and straddles the boundary between Nunavut and the Northwest Territories of Canada.
8,1.0,Paul Jackson was installed as a producer.
12,1.1,Thyme retains its flavour on drying better than many other herbs.
23,1.3,"Like most brooms, it has apparently leafless stems that in spring and summer are covered in profuse golden-yellow flowers."
19,1.5,They discover a wardrobe in Professor Digory Kirke's house that leads to the magical land of Narnia.
19,1.5,"If more energy is available, other elements will be ionized and green and blue nebulae become possible."
20,1.0,Publications Scope and preparation of the reports The IPCC reports are a compendium of peer reviewed and published science.
28,1.0,"Prevalence In the United States, according to Business magazine, an estimated 15 million functionally illiterate adults held jobs at the beginning of the 21st century."
10,1.0,It is most commonly used in cooking and pottery.
21,1.7,"Ólafur's second marriage was to Israeli-born Dorrit Moussaieff, to whom he became engaged in May 2000."
30,1.6,Kurt Georg Kiesinger (6 April 1904 9 March 1988) was a conservative German politician and Chancellor of West Germany from 1 December 1966 until 21 October 1969.
14,1.0,"As a C-type, it is probably composed of carbonaceous materials."
57,1.4,"In The Tomb of the Cybermen (1967), veins and brains were visible through the domed head of the Cyberman Controller and similarly, in Attack of the Cybermen (1985) and ""The Age of Steel"" (2006), the Cyber-Controller's brain is visible through the dome."
21,1.0,"In the case of asteroids, so many have been discovered that many will never be named by their discoverers."
15,1.0,The color has been speculated to be due to organic compounds on its surface.
44,1.8,"Convection increased on August 11, and by August 12 the interaction between a tropical wave and an upper-level low in the area resulted in a large area of disorganized thunderstorms extending from the western Caribbean Sea into the central Bahamas."
16,1.8,"Source Mage GNU / Linux A source code-based distribution, descended from Sorcerer."
42,1.8,"The term is generally applied to all of Morocco, Algeria, and Tunisia, but in older Arabic usage pertained only to the area of the three countries between the high ranges of the Atlas Mountains and the Mediterranean Sea."
27,1.4,"Various objection were raised to this scheme, and the Corporation refused to allow tram lines to be laid in the High Street and Above Bar."
25,1.2,Given these assumptions it is possible to calculate how often they can fail and to arrange the array to make data loss arbitrarily improbable.
14,1.1,Many students choose a faculty committee whose members represent their own interdisciplinary interests.
15,1.0,The Convent has been the official residence of the Governor of Gibraltar since 1728.
19,1.3,It was directed by Australian Baz Luhrmann and stars Leonardo DiCaprio and Claire Danes in the eponymous roles.
16,1.1,Prometheus acts as a shepherd satellite for the inner edge of Saturn's F Ring.
19,1.4,"She has a three-octave vocal range Accessed August 5, 2008 and a distinctively rapid vibrato."
36,1.6,"Though he was raised in a devout Lutheran household, Bergman later stated that he lost his faith at age eight years, and only came to terms with this fact while making Winter Light."
21,1.5,"Some define the hadopelagic as waters below 6,000 m (19,685 ft), whether in a trench or not."
33,1.7,"Tyler attended the Congressional School of Virginia, Breakwater School and Waynflete School in Portland, Maine, before returning to New York City with her mother at the age of 12."
27,1.2,"Before Snow White, the Disney studio had been primarily involved in the production of animated short subjects in the Mickey Mouse and Silly Symphonies series."
16,1.0,Strength of the bond The atoms in metals have a strong attractive force between them.
29,1.6,"History Arch Mineral Corporation was founded in 1969 as a partnership between Ashland Oil (now Ashland, Inc.) and the Hunt family of Dallas, Texas."
25,1.2,The term Dakshinachara (Right-Hand Path) is used to refer to Tantric sects that do not engage in these heterodox practices.
29,1.7,He was brought in as a guitarist following Josh Brainard's departure and is the last member of the band's current line-up to have joined.
17,1.2,"Later that year, the band released their debut album, Fresh Fruit for Rotting Vegetables."
36,1.2,"However, in criminal cases in which the sentence is expected to exceed two years, the professional judge is assisted by two lay judges with equal rights as the professional judge (Schöffengericht)."
10,1.0,The novel received the 1961 Pulitzer Prize for Fiction.
41,1.9,"Within the hCard is a Geo microformat, which additionally makes the coordinates (latitude & longitude) parsable, so that they can be, say, looked up on a map, or downloaded to a GPS unit."
26,1.1,The Sahara Pump Theory is a hypothesis that explains how flora and fauna left Africa to penetrate the Middle East and then Europe and Asia.
33,1.1,"Description In a multiprocessor system executing a single set of instructions (SIMD), data parallelism is achieved when each processor performs the same task on different pieces of distributed data."
19,1.3,Cameron Bright as Jimmy / Leech: A mutant boy whose power neutralizes the powers of nearby mutants.
27,1.4,"The first application of this idea in the United States was pioneered by Dr. William Mosenthal, a surgeon at the Dartmouth-Hitchcock Medical Center."
16,1.1,Cruiserweight Open for the WWE Cruiserweight Championship 10: 28 7 Goldberg defeated Brock Lesnar.
14,1.2,"A dogfight, or dog fight, is aerial combat between fighter aircraft."
8,1.2,He was married to Greek duchess Sofia.
27,1.4,Saint-Victoret is a commune in the Bouches-du-Rhône department in the Provence-Alpes-Côte d'Azur region in southern France.
21,1.0,His work driving forward the development of products that are both functional and elegant has earned him a devoted following.
15,1.0,"However, the term font is also often used as a metonym for typeface."
14,1.1,Ornamental plants are typically grown in the flower garden or as house plants.
35,1.1,This belief most likely stemmed from the fact that it is possible to have the Furby say certain pre-programmed words or phrases more often by petting it whenever it said these words.
21,1.4,"To make space for more agricultural land, large areas of forest were cut down, taking away its habitat."
21,1.5,"This tree is a frequent destination for pilgrims, being the most important of the four main Buddhist pilgrimage sites."
20,1.5,Ararat is considered the national symbol of Armenia and thus is of principal importance to the coat of arms.
47,1.9,"In his book ""Russia at War 1941 to 1945"", Alexander Werth reported that while visiting Gdansk / Danzig in 1945 shortly after its liberation by the Red Army, he saw an experimental factory outside the city for making soap from human corpses."
28,1.4,"In the fall of 2006, Cavergno and Bignasco were incorporated into the municipality, despite an attempt by Bignasco to resist the incorporation in the courts."
10,1.0,Postal systems often have functions other than sending letters.
21,1.5,"She subsequently recorded ""Kanashiki kuchibue"", which was featured on a radio program and was a national hit."
41,1.6,"ISO 3166 - 1 is part of the ISO 3166 standard published by the International Organization for Standardization (ISO), and defines codes for the names of countries, dependent territories, and special areas of geographical interest."
25,1.3,"This method can result in infection, and injury to internal organs (for example pulling out the intestines), resulting in death."
13,1.0,An even larger terminal to be sited nearby is also being promoted.
27,1.3,"National symbols intend to unite people by creating visual, verbal, or iconic representations of the national people, values, goals, or history."
54,1.4,"The foundations of quantum mechanics were established during the first half of the twentieth century by Werner Heisenberg, Max Planck, Louis de Broglie, Albert Einstein, Niels Bohr, Erwin Schrödinger, Max Born, John von Neumann, Paul Dirac, Wolfgang Pauli, David Hilbert, and others."
24,1.6,"On August 15, convection organized into bands, and as its winds approached hurricane strength, an eye developed within the storm."
13,1.3,"Gramophone Archive By age 15, he had already given concerts worldwide."
33,1.3,"After attaining tropical storm status, the maximum sustained winds fluctuated for three days between 40 mph (65 km / h) and 50 mph (85 km / h)."
14,1.0,The common soft corals on the Great Barrier Reef belong to 36 genera.
26,1.6,"In the manga, Blaine is a former Team Rocket Scientist who had combined the DNA of Mew with his own DNA, creating Mewtwo."
18,1.2,They were responsible for ensuring that people had many children and that the land produced plentiful crops.
18,1.1,"As the storm began to rapidly intensify, the warning was further modified to a hurricane warning."
17,1.0,"Introduction This unstaffed station on the Qingzang railway opened for service on July 1, 2006."
17,1.4,It is currently used mostly for football matches and is the home of Santos Football Club.
9,1.0,Contact between visiting seamen and prisoners was barred.
20,1.4,"Occultations by Hermione have been successfully observed three times so far, the last time in February, 2004."
23,1.3,"The black core of pencils is still referred to as ""lead"", even though it never contained the element lead."
12,1.5,This is a list of German Presidents since 1919 by longevity.
24,1.4,"A condiment is a relish, sauce, or seasoning added to food to impart a particular flavour or to complement the dish."
31,1.9,"High gusts were reported throughout Texas, with a maximum gust of reported on the Coast Guard cutter Buttonwood (WLB-306) stationed at the northeastern tip of Galveston Island."
30,1.1,"In geology, when an igneous intrusion cuts across a formation of sedimentary rock, it can be determined that the igneous intrusion is younger than the sedimentary rock."
32,1.7,"A few years later, in 1840, General Zorawar Singh invaded Baltistan, captured the Raja of Skardu, who had sided with the Ladakhis, and annexed his country."
32,1.5,"By that time the asymmetrical nose had been cut off and discarded, possibly for additional air flow to the radiator for the car's use in and around the carnivals."
21,1.0,This is probably one of the sources of Sarasvati / Benzaiten's close association with snakes and dragons in Japan.
15,1.3,"Tonnerre Yaoundé are a football (soccer) club based in Yaoundé, Cameroon."
13,1.1,The Hainich has become the 13th national park of Germany in 1997.
17,1.3,"An oratorio is a large musical composition including an orchestra, a choir, and soloists."
22,1.0,Some commentators notice a connection between the character Michael K and the protagonist Josef K. in The Trial by Franz Kafka.
31,1.8,"Rated an F0 tornado, it touched down near Brunswick, Georgia were it snapped trees and caused moderate roof damage along its 2 mi (3.2 km) path."
22,1.1,"The term was coined by merging the name for the two orders, Cetacea and Artiodactyla, into a single word."
22,1.4,"In medieval England, the territories of Lancashire and Cornwall were made duchies, with certain powers accruing to their dukes."
15,1.0,It was not detected again until the Hubble Space Telescope observed it in 1997.
18,1.6,"Stegosaurian teeth were small, triangular and flat wear facets show that they did grind their food."
14,1.0,"Normally, a state delegation is headed by the respective minister-president."
19,1.4,"Etymology and usage Lyric derives from the Greek word lyrikos, meaning ""singing to the lyre""."
16,1.2,"Proper saddle care can extend the useful life of a saddle, often for decades."
25,1.5,"Castlevania III: Dracula's Curse is the third game in the series' canon, featuring Simon Belmont's ancestor, Trevor Belmont."
22,1.5,"Eleven departments and Institutes focused on ""Stimulating Global Evangelism"" with 25 - 40 staff, carry out the work."
10,1.0,Usucha creates a lighter and slightly more bitter tea.
28,1.2,"Etymology The first person who used the term ""Seidenstraße"" (literally ""Silk Road"") was the German geographer Ferdinand von Richthofen in 1877."
13,1.0,Traces of the amphitheatre can still be seen in the Piazza dell'Anfiteatro.
27,1.2,"This was followed by the establishment of the Grey League (Grauer Bund), sometimes called Oberbund, in 1395 in the Upper Rhine valley."
11,1.0,August 22 Hurricane Bill weakens to a Category 1 hurricane.
38,1.9,"Though his father wanted him to continue his training as a goldsmith, he showed such a precocious talent in drawing that he started as an apprentice to Michael Wolgemut at the age of fifteen in 1486."
44,2.2,"Earthsea is a fictional realm originally created by Ursula K. Le Guin for her short story ""The Word of Unbinding"", published in 1964, that became more famous in her novel A Wizard of Earthsea, first published in 1968."
17,1.3,Harry Potter is a series of seven fantasy novels written by British author J. K. Rowling.
21,1.5,The VC was introduced on 29 January 1856 by Queen Victoria to reward acts of valour during the Crimean War.
18,1.1,"In 1828, Coenraad Johannes van Houten developed the first cocoa powder producing machine in the Netherlands."
35,1.4,"Under Adams, Sinn Féin appeared to move away from being a political voice of the Provisional IRA to becoming a professionally organised political party in both Northern Ireland and the Republic of Ireland."
16,1.4,"Overview It was contested by 12 teams, and SK Admira Wien won the championship."
37,1.6,"Lisa Gerrard (born April 12, 1961) is an Australian musician, singer and composer who rose to prominence as part of the music group Dead Can Dance with former music partner Brendan Perry."
42,2.2,"By September 1 a cyclonic circulation with a diameter of 690 mile (1115 km) was evident on satellite imagery, well to the southeast of the Cape Verde Islands, and several hurricane forecast models anticipated development and strengthening."
13,1.5,"It fared much better than The Rocker, opening at # 2."
19,1.5,The last Mummy film grossed over $102 million in the USA and over $400 million worldwide.
29,2.3,"It has a composition similar to 1 Ceres: a darkly colored surface that is heavily space weathered with the composition of primitive organic compounds, including tholins."
35,1.9,"Of the seven candidates, he topped each of the four straw polls conducted by the United Nations Security Council: on 24 July, 14 September, 28 September, and 2 October."
14,1.0,"Approximately 1,100 mud volcanoes have been identified on land and in shallow water."
28,1.4,"In particular, Linux distributions Debian and Ubuntu have provided ready-to-use openclipart packages for easy download and install from their online software repositories."
30,1.5,"Some of the computer models suggested the weakening tropical storm could be absorbed by a developing low to the west, which a few days later became Hurricane Epsilon."
21,1.0,"She is an acclaimed interpreter of the works of Mozart, Beethoven, Schubert, Chopin, Debussy and Schoenberg."
27,2.2,"Some are arboreal, with long balancing tails and other adaptations for climbing, while others are semiaquatic, with webbed feet and small external ears."
15,1.0,In the 1920s and early 1930s he frequently worked with the London Symphony Orchestra.
22,1.4,"It overlies the North Pole, touching North America in the Western hemisphere and Scandinavia and Asia in the Eastern hemisphere."
14,1.1,Gun dogs Gun dogs are used primarily by small game hunters using shotguns.
44,1.4,"Psychedelic music is a term that refers to a broad set of popular music styles, genres and scenes, that may include psychedelic rock, psychedelic folk, psychedelic pop, psychedelic soul, psychedelic ambient, psychedelic trance, and others."
25,1.0,CISC and RISC The terms RISC and CISC have become less meaningful with the continued evolution of both CISC and RISC designs and implementations.
28,1.7,"In Week 16, quarterback Matt Leinart went down with a shoulder injury against the 49ers, forcing Warner to see his first action since Week 4."
40,1.9,"Although she had previously spoken in fantasies and dream sequences, Maggie's first word spoken in the normal continuity of the series occurred in ""Lisa's First Word"", when she was voiced by Elizabeth Taylor."
20,1.1,"On September 17, 2004, Whedon announced on the movie's official website that shooting had been completed."
20,1.2,Uses Tar was also used as seal for roofing shingles and to seal the hulls of ships and boats.
21,1.5,"The staff has since expanded to more than thirty people and two continents with an office in Lahore, Pakistan."
30,1.5,David William Donald Cameron (born 9 October 1966) is the leader of the Conservative Party and Leader of Her Majesty's Loyal Opposition in the United Kingdom.
15,1.0,"When no one showed any interest, Cave took on the task by himself."
14,1.0,It is the largest known non-spherical moon in the solar system.
28,1.3,"Benjamin Jeremy ""Ben"" Stein (born November 25, 1944) is an American actor, writer, and commentator on political and economic issues."
14,1.0,Some of the technologies have been adapted to social networking services and ISPs.
18,1.7,"He has also recorded five albums as a solo artist, debuting with Leading Off in 1994."
16,1.1,"In Augustan Rome, Quirinus was also an epithet of Janus, as Janus Quirinus."
11,1.1,Do not excuse what you did with what others did.
33,1.5,"The PKCS # 1 standard also incorporates processing schemes designed to provide additional security for RSA signatures, e. g., the Probabilistic Signature Scheme for RSA (RSA-PSS)."
34,1.2,"Since Poland's accession to the European Union, a significant number of Poles have emigrated to Western European countries such as the United Kingdom, Germany and Ireland in search of work."
12,1.0,The surname Christian is an Anglicization of the Manx name McCrystyn.
21,1.2,"This took the republic by surprise, especially because the SPD was below 25% in polls at the time."
18,1.4,It accelerated northeast parallel to the East Coast and became extratropical on July 23 near Nova Scotia.
26,1.3,"He is called Saint James the Greater to distinguish him from James, son of Alphaeus, who is also known as James the Less."
10,1.0,He skated his last with the show in 2007.
27,1.4,"In mathematics, a Riemann sum is a method for approximating the total area underneath a curve on a graph, otherwise known as an integral."
29,1.6,"Bonham Carter made her film debut in the K. M. Peyton film, A Pattern of Roses, before appearing in her first leading role in Lady Jane."
14,1.1,Drammen is also the main harbor for car and fruit import in Norway.
21,1.0,"The Administrators of the Northern Territory and Norfolk Island are, by contrast, appointed by the Governor-General."
19,2.0,"Freetown is home to Fourah Bay College, the oldest university in West Africa, founded in 1827."
18,1.5,"Sportswear (or Active attire) is clothing, including footwear, worn for sport or exercise."
12,1.1,Furthermore it is the episcopal see of the Diocese of Växjö.
24,1.5,"Background DES uses a 56 - bit key, meaning that there are 256 possible keys under which a message can be encrypted."
11,1.0,"Honduras (,) is a republic in Central America."
20,1.2,Two tubes of amphetamines and a further empty tube were found in the rear pocket of his racing jersey.
12,1.1,The Arkansas River is a major tributary of the Mississippi River.
19,1.9,Metarterioles provide direct communication between arterioles and venules and are important in bypassing the bloodflow through the capillaries.
31,1.1,"Eventually, this also expanded the realm of ""Just Say No"" to violence, premarital sex, and any other ""vices"" that young people might try."
13,1.3,"Annaser Benghazi is a Libyan football club based in Benghazi, Libya."
21,1.0,Year-Round School is the scheduling of educational institutions so that students take class throughout the entire calendar year.
24,1.1,"It is the established convention of the scientific community to define the vitreous electrification as positive, and the resinous electrification as negative."
24,1.0,Power transmission is the movement of energy from its place of generation to a location where it is applied to performing useful work.
19,1.0,Before the 2002 election FC Bayern General Manager Uli Hoeneß expressed his support for Stoiber and the CSU.
18,1.1,Males can weigh more than 20 kg and attain a head-body length of 90 cm.
17,1.0,"A. I. Artificial Intelligence One Kubrick project was eventually completed by another director, Steven Spielberg."
16,1.2,"Between rounds there is a one minute pause, during which competitors change their gear."
19,1.0,This work was accomplished through the efforts of Martin Evans and Oliver Smithies working on the knockout mice.
24,1.2,"With little warning, a second earthquake of magnitude 5.1 May 18 triggered a massive collapse of the north face of the mountain."
8,1.0,It is a commonly stolen street sign.
43,1.1,"The Association pour la taxation des transactions financières pour l'aide aux citoyens (Association for the Taxation of Financial Transactions for the Aid of Citizens, ATTAC) is an activist organization for the establishment of a tax on foreign exchange transactions."
21,1.0,Cash is another commodity that may be packaged together with contracts and / or draft picks to complete a trade.
37,1.4,"They are a type of reporter gene used in laboratory microbiology, molecular biology, and genetic engineering to indicate the success of a transfection or other procedure meant to introduce foreign DNA into a cell."
24,1.8,"Sthenurine forelimbs were long with two extra-long fingers and claws compared with the relatively small, stiff arms of modern macropods."
16,1.1,This resulted in a vest with vertical stripes of white and navy-blue color.
19,1.5,Later Wales withdrew his support and asked for Essjay's resignation from his positions with Wikipedia and Wikia.
12,1.5,The Odyssey is an ancient Greek epic poem attributed to Homer.
25,2.0,"In early 2003, she released her fourth album titled, ""To Be Continued..."" which was also met with commercial success."
9,1.0,"On 28 March 1941, Woolf committed suicide."
13,1.4,"Eureka is a city in Woodford County, Illinois, United States."
11,1.4,The school icon is an eagle symbolizing courage and determination.
12,1.2,Emmen is a municipality and a town in the northeastern Netherlands.
23,1.3,"Borken is a Kreis (district) in the northwestern part of North Rhine-Westphalia, Germany in the Region Münsterland."
14,1.1,One foam-rubber process has been coined as Foamation by Will Vinton.
36,1.6,"South India is the area encompassing India's states of Andhra Pradesh, Karnataka, Kerala and Tamil Nadu as well as the union territories of Lakshadweep and Pondicherry, occupying 19.31% of area."
10,1.0,"It is found only on Christmas Island, Australia."
22,1.5,"They are most often cyclonic, that is, associated with a localized low-pressure region within a severe thunderstorm."
15,1.5,"Nordraak died in 1866, and Grieg composed a funeral march in his honor."
15,1.0,Another of Groundwater's short stories has been adapted into a live theater performance.
32,1.7,"Before 1,000 Hours was released, the band dropped the name Sweet Children, according to Livermore this was done in order to avoid confusion with another local band Sweet Baby."
19,1.3,"Writing After Universal Studios acquired the movie rights to Firefly from Fox, Whedon began writing the screenplay."
22,1.1,"Before the dominance of recorded music, concerts would be the only opportunity one would generally have to hear musicians play."
27,1.5,"In remembrance of the old tradition, the Axel Springer press company erected its German headquarters at Kochstraße again, right next to the Berlin Wall."
35,1.5,"This arises when a pawn uses its initial-move option to advance two squares instead of one, and in so doing passes over a square that is attacked by an enemy pawn."
19,1.0,It was occupied by the Romans with the rest of the surrounding area in the first century BCE.
13,1.0,These events were dramatized in the 1977 movie A Bridge Too Far.
15,1.2,"The bridge is administered by the Thousand Islands Bridge Authority, an international agency."
24,1.3,"Despite these unfavorable conditions, a curved convective band developed in its northern and western quadrants, and the circulation became better defined."
23,1.5,"In the a mathematics, a product is the result of multiplying, or an expression that identifies factors to be multiplied."
13,1.2,Fiorito originally produced foot fetish videos but soon moved on to coprophagia.
13,1.0,"In March 2005, Pavarotti underwent neck surgery to repair two vertebrae."
11,1.0,Such storms can feature strong surface winds and severe hail.
30,1.4,"It is not known how much, if any, of this story is true, but historians do know that China was the first civilization to use silk."
30,1.5,"The encryption key is trivially related to the decryption key, in that they may be identical or there is a simple transform to go between the two keys."
17,1.6,"The volcano culminates at 1,060 metres, and its crater measures roughly 300 metres in diameter."
20,1.0,"Traditionally, the leader of the National Party serves as Deputy Prime Minister when the Coalition is in government."
13,1.0,"News reports indicate that the poorer, rural villages were hardest hit."
32,1.8,"Under President and CEO Reynolds, the park operated until April 13, 2003, when it closed after a prolonged tourism decline following the September 11, 2001 terrorist attacks."
25,1.2,"The mountain range forms the border between both countries for 150 kilometers, extending from the western border of Saxony to the Elbe river."
35,1.7,"The year 1976 saw Punk arrive on what some people perceived to be a stagnant music scene and NME, like other ""specialist"" publications, was slow to cover this new phenomenon."
11,1.0,Very few consumers of bi-porn identify as gay.
16,1.5,Local existence Not all Bundesländer have this subdivision; some are directly divided into districts.
16,1.0,"As Norma dissipated, moisture from the cyclone was entrapped in a large extratropical low."
16,1.0,"The most common symptoms of MI in women include dyspnea, weakness, and fatigue."
27,1.4,The Taiwan Strait or Formosa Strait is a 180 - km-wide (111.85 - mile-wide) strait between mainland China and Taiwan.
11,1.3,Redwall is a series of fantasy novels by Brian Jacques.
28,1.9,"Captive longevity is 20 to 30 years, with rare accounts of over 40 years, Reports of a individual living to 40 years in Philadelphia Zoo."
25,1.3,"Mexican cinnamon hot chocolate is traditionally served alongside a variety of Mexican pastries known as pan dulce and, as in Spain, churros."
13,1.1,"Plessur is an administrative district in the canton of Graubünden, Switzerland."
24,1.1,"In the historiography of Japan, the Edo period from 1590 to 1868 is also sometimes referred to as the early modern period."
36,1.0,"Among his published works were Peace, a Lyric Poem (1814); Resignation (1817); The Triumph of Christianity (1819); and The Soldier's Friend (1828)."
12,1.0,"However, this list contains substances which may have synthetic origins."
16,1.2,"Several marsupial herbivores, notably koalas and some possums, are relatively tolerant of it."
37,1.6,"For a person to be inducted to the Hockey Hall of Fame, they must be nominated by an elected 18 - person selection committee which consists of Hockey Hall of Fame members and media personalities."
29,1.4,Shadow of the Hegemon (2001) is the second novel in the Ender's Shadow series (often called the Bean Quartet) by Orson Scott Card.
34,1.1,"According to the study, if all this software had been developed by conventional proprietary means, it would have cost about $(US dollars) to develop in the United States."
30,1.5,"In June 2008, it was announced that a further four-year deal would commence for the 2010 / 11 season, with the deal worth £125m."
11,1.0,History The first mention of the town dates from 1178.
9,1.0,Fire Salamanders can have a very long lifespan.
18,1.5,"The city has a larger population than the provincial capital, and ranks second in land area."
